id;testId;query
1;1;Определите древние города Западного Судана.
2;1;В каком году была создана Организация африканского единства, сыгравшая большую роль в борьбе за независимость народов Африки?
3;1;В каком государстве Африки в 1950 г. был принят закон о регистрации населения, согласно которому все жители страны классифицировались по расовому признаку?
4;1;Сколько царств существовало на территории Египта, до того, как возникли Северный и Южный Египет?
5;1;Колониями какой страны были Конхинхину и Камбоджа?
6;1;Кто из президентов Египта провозгласил политику "открытых дверей" и "либерализации" экономики?
7;1;Олдувай, где обнаружены древнейшие орудия труда и кости древнейших людей, находится ...
8;1;Абиссиния - это ...
9;1;Когда Эфиопия была объявлена колонией Италии?
10;1;В каком году было подписано соглашение о предоставлении Алжиру независимости?
11;1;В XVII-ХIХ вв. Тропическая Африка была разделена между Европейскими государствами на колониальные территории. Определите колонии принадлежащие Франции. 1) Дагомея; 2) Ангола; 3) Руанда; 4) Кения; 5) Чад; 6) Мозамбик; 7) Сенегал.
12;1;Какие из перечисленных стран были странами-колонизаторами Африки в середине XIX в.?
13;1;Какие территории Африки вошли в состав Османской Империи в ХVI -ХVII вв.?
14;1;Какие африканские страны охватила волна "социалистической ориентации" в 70-е гг. XX в.?
15;1;Африканские колонии Великобритании в начале XX в.:
16;1;Владения Арабского халифата в Африке ограничивались ...
17;1;Какой территорией ограничивались знания древних римлян об Африке?
18;1;В каком из средневековых городов Африки был открыт университет, где кроме богословия изучали историю, математику и астрономию?
19;1;В конце XIX в. большинство стран Африки потерпели поражение в борьбе против колонизаторов и лишь одной в 90-х годах, удалось отстоять свою независимость. Эта страна - ...
20;1;Какое государство основало Капскую колонию на юге Африки?
21;1;Какая из перечисленных стран Африки получила независимость раньше других?
22;1;В каком году в Южной Африке было создано политическое движение "Африканский национальный конгресс"?
23;1;Памятник архитектуры средневековья - императорский дворец в Гондэре - расположен в ... (по состоянию на 1998 г.)
24;1;Южно-Африканский союз, созданный в 1910 г., объединил ...
25;1;Какая африканская колония принадлежала Германии, кроме Юго-Западной Африки?
26;1;Укажите древнее государство, существовавшее на севере нынешней Эфиопии.
27;1;В марте 1990 г. была провозглашена ...
28;2;Признаки государства - это:
29;2;Конституция РФ была принята:
30;2;Источниками права являются:
31;2;Юридическими функциями права являются:
32;2;В судебную власть входят:
33;2;Правоспособность у физического лица возникает:
34;2;Возможна ли пересадка органов и (или) тканей реципиенту без его согласия либо без согласия его родителей или законного представителя?
35;2;Предоставление сведений, составляющих врачебную тайну, без согласия пациента допускается:
36;2;Какие сведения составляют врачебную тайну?
37;2;Лицензия - это:
38;2;Право на занятие частной медицинской практикой может быть реализовано в РФ при наличии:
39;2;Работники с высшим медицинским или фармацевтическим образованием могут быть допущены к практической деятельности после прохождения переподготовки или на основании проверочного испытания, если они не работали по своей специальности:
40;2;Основополагающий правовой акт в области здравоохранения:
41;2;Какие из перечисленных прав, закрепленных в Конституции РФ, относятся к личным?
42;2;Субъектом незаконного производства аборта является:
43;3;Социальные группы в древнерусском обществе:
44;3;Ограниченно свободные люди в Древней Руси:
45;3;Органы государственной власти Киевской Руси
46;3;4.Система государственного управления в Киевской Руси:
47;3;Русская Правда представляет собой:
48;3;Собственность на землю по Русской Правде:
49;3;Правовое значение общины (верви) в древнерусском праве:
50;3;Виды договоров по Русской Правде:
51;3;Термин, обозначающий преступление в Русской Правде:
52;3;Основная цель наказания по Русской Правде:
53;3;Виды наказаний по Русской Правде:
54;3;Досудебные процедуры в древнерусском судебном процессе.
55;3;Виды доказательств в древнерусском судебном процессе.
56;4;По указу 1760-го г. дворяне получили право:
57;4;Личные права дворян включали право на:
58;4;Имущественное(-ые) право(-а) дворян включало(-и) в себя:
59;4;Правовой статус городского населения как особого сословия начал определяться:
60;4;Все городское население делилось на:
61;4;От телесных наказаний освобождались:
62;4;В 1803 г. принимается «Указ о вольных хлебопашцах», по которому помещики получали право:
63;4;Первые годы правления Александра I характеризовались возрождением политики:
64;4;В 1809 г. подготовить проект Конституции было поручено:
65;4;В 1811 г. издается «Общее учреждение министерств» - документ, подготовленный:
66;4;Назовите выдающегося русского правоведа и государственного деятеля. Именно под его руководством было составлено Полное собрание законов Российской Империи. Подготовил план государственных преобразований – «Введение к уложению государственных законов»:
67;4;В функции жандармерии входило:
68;4;В 1837 г. реорганизуется система полицейских органов: связи с делением уездов на более мелкие административно-территориальные единицы появляется такая полицейская должность как:
69;4;Разработка положений о церкви, осуществленная Уложенной комиссией 1754 г., затронула ряд существенных вопросов господствующего положения православной веры. Отход от православия, совращение в нехристианскую веру, богохульство наказывались:
70;4;В 1826 г. Уложенная комиссия была преобразована во Второе отделение Собственной канцелярии Его Величества, делами которого фактически ведал М. М. Сперанский. Юридическая техника для составления Свода основывалась на методике включавшей в себя то, что:
71;4;Разделение законов, по мысли М. М. Сперанского, основывались на осуществлении двух правовых порядков:
72;4;В Полное собрание законов (ПСЗ) вошло:
73;4;В 1847 г. рабочий день для фабричных рабочих был снижен до _______ часов
74;4;Запродажа имущества – это:
75;4;Договор товарищества первой половины XIX в. в новых экономических условиях получил широкое распространение. А сколько видов товарищества предусматривалось на то время:
76;4;Для возникновения товарищества требовалась регистрация. Для возникновения акционерного общества –
